Company,stars,VADER,TextBlob,GoogleAPI
AT&T,2.3473785783210035,0.2507945963332259,0.06735833845320031,-0.23010614670118618
Adidas,3.447976878612717,0.6605528901734106,0.19205826686416186,0.13526011072543334
Allstate Insurance,3.805084745762712,0.5780970338983051,0.2306330059110168,0.28855931529237233
Apple,3.133841131664853,0.45817029379760676,0.1251539255462459,-0.05538629260935802
Berkshire Hathaway,4.364583333333333,0.7480447916666669,0.24358247219791673,0.5156249929687493
Best Buy,2.3848275862068964,0.4767050574712621,0.16355689740804608,-0.18754023420873156
CVS Healthcare,2.4927320163995526,0.23591222512113355,0.06447159490700716,-0.21125605978866674
Cineplex,3.3192307692307694,0.6385184615384616,0.16651677195961545,0.0478846125269232
Citigroup,2.1904761904761907,0.1850547619047619,0.045839590285714285,-0.3761904771904762
Costco,3.58951724137931,0.5841053793103446,0.18038006419393074,0.10656551429793132
Delta Airlines,2.3381147540983607,0.18445204918032798,0.0792147501823771,-0.2511270520778686
GameStop,2.988888888888889,0.46580055555555555,0.10776786414444445,-0.03500000551111111
Home Depot,2.558359621451104,0.3516446056782324,0.08473837817939016,-0.16654048724710366
Hyatt Hotels,3.578793103448276,0.7295925689655183,0.23241518228086158,0.21199999559913643
JPMorgan Chase,2.6,0.52,0.09802384260000001,-0.3999999924
Marriott Hotels,3.5422185430463577,0.7263950331125834,0.23132576169122504,0.23038078972847753
McDonalds,1.9311002895498814,0.058995577783626844,-0.012586620899907886,-0.38340353052185483
Mercedes,3.3482616381850323,0.5661713612256919,0.18303636491809072,0.1367118381773716
Microsoft,3.2293333333333334,0.5625487999999996,0.16549141641866663,0.038133329112000035
Nike,3.5898825654923217,0.645666395663957,0.19611249027280941,0.14101173934869055
Rogers,2.303030303030303,0.15112727272727275,0.041178693787878785,-0.2727272736363636
Starbucks,3.1192258681108633,0.46069146623127954,0.14210405216107844,0.03456116173582591
State Farm Insurance,4.15296803652968,0.6409041095890419,0.2599554784817355,0.4335616356586768
Target,3.217506631299735,0.5225934255399776,0.14806967801174742,0.023758996172413754
Tesla,3.3676470588235294,0.6013374999999999,0.21002254533088238,0.131617643014706
Toyota,2.739832806145504,0.4247916290103911,0.13907056276604224,-0.07840036686251353
Verizon,2.5186915887850465,0.3223248182762206,0.07901370448857732,-0.21152648353634446
Walmart,2.2164730728616684,0.1793069693769798,0.03319789187046808,-0.31057726444245104
Wells Fargo,2.639957264957265,0.38377414529914555,0.07444297571581203,-0.16965812269764935
